C,S
127,0
6,1
6,1
4,0
69,0
19,0
333,0
6,0
1,1
8,0
82,0
850,0
48,0
88,0
28,1
487,0
59,0
59,0
34,0
4,0
2,1
106,0
7,0
124,1
4,0
4,0
3,0
8,0
7,0
6,0
335,0
6,1
5,0
6,0
16,0
256,0
106,0
2,1
2,0
10,1
583,0
34,0
10,0
6,1
44,0
10,0
55,0
9,0
7,0
29,0
72,0
4,0
108,0
6,0
3,1
514,0
3,0
6,0
23,0
234,0
7,1
197,0
5,0
15,0
2,1
490,0
361,0
393,0
6,0
6,1
56,0
2,0
332,0
32,0
117,0
21,0
382,0
72,0
1,0
6,1
91,0
9,0
4,1
7,0
12,0
261,0
24,0
2,1
5,0
139,0
5,0
21,1
8,0
13,0
13,0
6,1
31,0
63,0
6,1
731,0
32,0
24,0
327,0
7,0
5,0
80,0
16,0
497,0
1,0
117,0
1359,0
2,0
27,0
159,0
281,0
142,0
47,0
586,0
5,0
42,0
6,1
540,0
541,0
178,0
6,1
6,1
14,1
23,0
38,0
2,1
4,0
4,1
6,0
5,1
77,0
4,0
177,0
221,0
2,1
96,0
192,0
4,0
60,0
471,0
317,1
5,0
24,0
15,0
350,0
29,0
5,0
96,0
7,0
159,0
119,0
313,0
23,0
197,0
50,1
8,0
112,0
287,0
124,0
8,0
18,0
421,0
17,0
105,0
174,0
17,1
173,0
9,1
45,0
8,0
126,0
753,0
421,0
450,0
116,0
163,0
953,0
2,1
4,0
6,1
87,0
5,1
255,0
150,0
448,0
8,1
10,1
182,0
346,0
192,0
38,0
8,1
2,0
4,0
257,0
3,1
6,1
263,0
452,0
629,0
461,0
16,0
5,0
1140,0
10,0
4,0
188,0
34,0
172,0
5,0
1,0
56,0
757,0
6,0
16,0
253,0
6,0
8,1
283,0
240,0
2,1
104,1
4,0
147,0
5,0
2,1
196,0
13,0
7,0
41,0
319,0
228,0
18,0
3,0
217,0
2,0
260,0
4,1
132,0
24,0
133,0
6,1
29,0
4,0
5,0
212,0
117,0
44,0
287,0
19,0
230,0
34,1
294,0
292,0
26,0
3,0
31,0
9,0
143,0
897,0
92,0
223,0
19,0
47,0
8,0
5,0
5,1
18,0
4,0
159,0
5,0
103,0
277,0
383,0
162,0
57,0
124,0
6,1
275,0
157,0
25,1
3,1
11,0
7,0
111,0
32,0
6,0
1115,0
18,0
29,1
16,0
28,0
2,1
36,0
8,0
8,0
101,0
6,0
3,0
514,0
1,0
146,0
8,1
9,1
22,0
827,0
159,0
68,0
6,1
6,0
3,0
51,0
162,0
3,0
2,0
649,0
19,0
6,1
42,0
141,0
281,0
6,1
68,0
20,0
2,1
334,0
16,0
53,0
2,1
18,0
398,0
3,1
359,0
89,0
2,1
10,0
3,0
20,0
7,1
158,0
63,0
6,1
10,0
107,0
8,0
6,0
4,0
14,0
16,0
18,0
8,0
1,1
543,1
257,0
117,0
15,0
7,0
41,0
29,0
142,0
220,0
2,1
5,0
514,0
305,0
1,0
2,1
7,0
91,0
4,0
8,0
20,0
679,0
18,0
119,0
5,1
6,0
104,0
245,0
1,0
47,0
2,1
236,1
104,0
427,0
9,0
8,1
3,1
33,0
20,0
69,1
69,0
2,1
84,0
4,0
72,0
15,0
35,0
7,0
53,0
11,0
10,0
95,0
41,0
63,0
424,0
6,1
72,0
342,0
2,1
649,0
22,0
90,0
74,1
9,1
514,0
6,1
94,1
14,0
416,0
5,0
7,0
74,1
6,0
14,0
483,0
3,0
190,0
39,0
226,0
271,0
46,0
2,1
179,0
7,0
119,0
391,0
187,0
19,0
627,0
5,0
6,1
20,0
6,0
917,0
72,0
26,0
14,0
91,0
13,0
54,0
163,0
166,0
12,1
378,0
7,0
12,0
100,0
14,0
122,0
477,0
132,0
1,1
14,0
8,0
2,1
20,0
236,0
7,0
3,1
5,0
5,0
192,0
9,0
34,0
6,1
3,1
320,0
197,0
4,0
267,0
53,0
15,0
34,0
23,0
61,0
3,0
90,0
185,0
16,0
32,0
64,0
198,0
13,1
2,1
2,0
30,0
3,0
55,0
15,1
238,0
169,0
367,0
5,1
354,0
10,0
2,1
428,0
44,0
152,0
41,0
2,1
820,0
2,1
14,1
166,0
6,1
461,0
73,0
29,0
7,0
9,0
5,1
6,0
2,0
7,0
303,0
7,0
62,0
780,0
22,0
241,0
297,0
2,1
690,0
14,0
38,1
28,0
523,0
146,0
160,0
27,0
12,0
13,0
8,0
16,0
168,0
8,0
101,0
121,0
33,0
2,0
307,0
607,0
104,1
12,0
6,1
19,0
16,0
60,0
21,1
9,0
248,0
332,1
337,0
6,0
31,0
33,1
6,1
418,0
6,1
660,0
4,0
230,0
16,0
8,0
237,0
381,0
1,0
14,1
847,0
3,0
1,0
10,0
5,0
5,0
10,1
268,0
5,0
6,0
297,0
7,0
2,1
51,0
5,0
57,0
80,0
339,0
12,0
15,1
24,0
322,0
190,0
656,0
117,0
221,0
33,0
30,0
6,1
132,0
8,0
2,1
333,0
482,0
6,0
272,0
366,0
10,0
4,0
346,0
2,1
16,0
431,0
10,0
340,0
6,1
93,0
52,1
3,1
75,0
94,0
6,1
193,0
1,1
43,0
1,0
12,0
255,0
283,0
6,0
89,0
277,0
199,0
4,1
908,0
6,0
163,0
411,0
39,0
289,0
79,0
24,0
6,0
268,0
94,0
382,0
11,0
8,0
569,0
19,0
20,1
8,0
2,1
209,0
145,0
2,1
65,0
2,0
4,1
20,0
2,1
95,0
29,0
101,0
710,0
12,0
7,0
18,0
307,0
6,0
6,1
15,0
18,1
236,0
2,1
29,0
14,0
15,0
4,0
168,0
2,1
3,0
113,1
17,0
84,0
24,0
11,0
43,0
94,0
221,0
38,0
10,0
149,0
3,0
48,0
186,0
5,0
6,1
10,0
368,0
909,0
145,0
21,0
101,0
32,0
7,0
144,0
24,0
762,0
2,0
396,0
43,0
90,0
91,0
144,0
1224,0
2,0
1,1
1425,0
2,1
1,1
5,0
650,0
289,0
2,1
5,0
95,0
846,0
253,0
7,0
11,0
4,0
8,0
10,1
167,0
19,0
17,0
20,0
35,0
24,0
67,0
6,1
617,0
475,0
6,0
655,0
6,1
6,1
2,1
540,0
15,1
46,0
24,0
164,0
2,0
42,0
9,0
429,0
6,1
9,0
2,1
10,0
463,0
50,0
19,0
13,0
6,1
1467,0
1,1
821,0
2,1
14,0
11,0
9,0
106,0
9,0
5,0
5,0
17,0
7,0
5,0
1002,0
4,0
227,0
4,1
44,1
91,0
36,0
51,0
172,0
376,0
12,1
136,0
651,0
9,0
26,0
19,0
296,0
79,0
55,0
250,1
20,0
32,0
20,0
61,0
131,0
23,0
38,0
1,1
8,0
25,0
4,0
3,0
4,0
1,1
63,0
53,0
2,1
7,0
2,1
689,0
170,0
29,1
267,0
260,0
424,0
135,0
8,1
383,0
11,0
43,1
6,0
211,0
8,0
1,1
341,0
259,0
7,0
127,0
59,0
313,0
207,0
3,1
56,0
15,0
26,0
15,0
22,0
245,0
17,0
515,0
93,0
162,0
425,0
2,0
14,0
68,0
549,0
6,1
6,1
14,0
300,0
225,0
1,0
131,0
380,0
4,0
21,0
95,0
69,0
1331,0
33,0
5,0
16,0
2,1
2,1
47,0
253,0
12,0
80,0
52,0
5,0
7,1
25,0
1,0
18,1
434,0
76,1
1,1
141,0
10,1
16,0
337,0
6,1
194,0
29,0
3,1
12,0
128,0
182,0
2,1
10,0
1,0
164,0
1,0
9,0
4,0
6,0
270,0
81,0
20,0
89,0
68,0
388,0
273,0
422,0
49,0
4,0
1155,0
509,0
219,0
7,1
35,0
39,0
6,1
152,0
25,0
1,0
120,0
61,1
144,0
26,0
362,0
26,0
263,0
143,0
17,0
11,0
121,0
4,0
31,0
170,0
5,1
10,1
459,0
7,0
50,0
7,0
4,0
2,1
856,0
816,0
5,0
27,0
6,1
9,1
197,0
304,0
109,0
2,1
19,0
165,0
26,0
12,1
13,0
106,0
7,1
9,0
5,1
75,0
229,0
10,0
259,0
394,0
22,0
6,1
190,0
96,0
4,0
301,0
43,0
171,0
2,0
8,0
16,0
2,1
9,0
408,0
254,0
323,0
956,0
6,0
1,1
4,1
28,0
8,0
12,0
462,0
116,0
624,0
37,0
98,0
110,0
28,1
4,0
582,0
116,0
69,1
10,0
65,0
1264,0
302,0
19,1
2,1
31,0
27,0
17,0
9,1
2,1
385,0
303,0
2,1
112,0
19,0
414,0
26,0
1615,0
42,0
10,0
263,0
5,1
417,0
382,0
107,0
10,0
12,0
5,0
6,1
8,0
6,1
873,0
6,1
823,0
178,0
506,0
30,0
127,0
478,1
4,0
6,0
120,0
420,0
2,1
43,0
4,0
29,0
21,0
1,1
141,0
136,0
2,1
6,0
38,0
2,1
118,0
3,0
10,0
184,0
20,0
280,0
57,0
104,0
832,0
610,0
4,1
9,0
20,1
21,1
1039,0
3,1
56,0
7,0
252,0
18,0
4,0
437,0
83,0
31,0
19,0
28,1
89,1
143,0
381,0
14,0
559,0
4,0
45,0
6,0
3,1
341,0
56,0
5,0
256,0
472,0
12,0
82,0
324,0
56,0
32,0
56,0
8,0
8,0
7,0
213,0
45,0
5,1
350,0
49,0
84,0
48,0
13,1
4,0
493,0
33,0
3,0
6,1
31,0
124,0
7,0
2,1
19,0
31,0
4,1
14,0
50,0
6,0
18,0
7,1
265,0
14,0
47,0
7,0
8,0
14,0
273,0
19,1
165,0
10,0
6,0
72,0
159,0
4,0
14,0
325,0
2,0
6,1
2,1
10,0
13,0
80,0
16,0
100,0
4,0
8,0
379,0
2,1
13,0
275,0
1,1
4,0
5,0
3,1
44,0
15,0
48,0
2,1
51,0
13,1
11,0
5,0
701,0
73,1
89,0
8,0
850,0
551,0
2,1
65,0
15,0
8,0
59,0
4,0
21,0
8,0
6,0
33,0
1238,0
2,1
6,1
26,0
8,0
22,0
505,1
236,0
727,0
26,0
339,0
664,0
12,0
172,0
21,0
39,0
4,0
68,0
1,1
7,0
6,0
30,1
8,0
2,0
20,0
8,0
13,0
21,0
60,0
159,0
26,0
518,0
7,0
2,1
13,0
134,0
10,0
5,0
10,0
14,0
175,0
40,0
168,0
666,0
2,0
613,0
4,1
689,0
420,0
6,0
12,0
203,0
40,0
6,1
1,0
