C,S
3,1
170,0
25,0
137,1
4,0
2,0
5,0
24,0
4,0
4,0
12,0
5,0
85,0
9,0
116,0
12,0
4,0
14,1
4,0
168,0
220,0
4,0
195,0
102,0
127,0
45,0
40,0
4,1
2,0
25,0
6,0
58,0
10,0
2,1
2,0
8,0
64,0
212,0
4,0
162,1
63,0
10,0
22,0
2,1
2,1
2,1
26,0
202,0
6,0
193,0
2,0
79,0
15,0
6,1
74,0
197,0
47,0
197,0
3,0
107,0
3,0
331,1
122,0
7,0
65,0
24,0
4,0
3,0
6,1
4,0
145,0
31,0
2,1
10,0
10,0
11,0
10,0
39,0
7,0
11,0
25,0
6,0
1,0
2,0
41,0
2,1
6,1
42,1
2,0
3,0
8,0
33,0
78,0
11,0
5,0
20,0
2,0
1,0
8,0
141,0
86,0
153,0
2,0
34,0
117,0
22,1
4,0
275,1
226,0
1,1
6,0
29,0
450,0
2,0
28,0
3,0
2,1
2,1
89,0
115,0
9,1
4,0
6,1
2,0
3,0
16,0
136,0
5,0
2,0
53,0
104,0
74,0
6,0
5,0
11,0
6,1
216,0
144,0
4,1
306,0
32,0
38,0
16,0
64,0
42,0
8,0
52,0
4,0
2,0
6,0
26,0
6,1
16,0
78,0
247,0
6,1
5,0
221,0
5,0
9,0
6,0
75,0
405,0
123,0
18,0
196,0
5,0
6,0
100,0
2,0
8,0
392,0
2,1
3,0
41,1
44,0
282,0
8,0
2,1
105,1
4,0
7,1
60,0
253,0
14,0
135,0
71,0
2,0
94,0
525,0
93,0
2,1
8,0
2,1
18,0
201,0
37,0
79,0
4,0
45,0
2,0
2,1
5,0
49,0
80,1
3,0
1,1
2,0
162,0
100,0
4,0
2,1
2,0
39,0
154,0
2,0
43,0
23,0
166,0
6,1
33,0
282,0
71,0
49,0
317,0
14,0
131,0
8,1
16,0
8,0
6,1
17,1
9,0
182,0
447,0
253,0
3,1
119,0
53,0
2,0
214,0
2,0
151,0
6,1
103,0
36,0
128,0
47,0
4,0
120,0
4,1
145,0
6,1
6,0
8,0
1,1
4,0
116,0
2,0
11,0
129,0
6,1
82,0
8,0
48,0
3,0
110,0
10,1
78,1
78,0
101,0
49,0
4,0
112,0
71,0
12,0
3,0
2,0
2,1
6,1
2,1
110,0
214,0
4,0
11,0
16,0
126,0
4,0
164,0
29,0
58,0
2,0
114,0
12,0
15,0
33,0
2,1
16,0
151,0
202,0
129,0
2,1
8,0
2,1
60,0
3,0
2,1
7,1
8,0
6,1
51,0
2,0
120,0
288,1
2,1
8,0
129,0
60,0
2,0
6,1
12,0
6,1
5,1
18,0
181,0
2,1
17,0
197,0
20,0
10,0
7,0
2,0
2,0
13,0
260,0
115,0
79,0
7,0
4,0
41,0
19,0
2,1
1,0
17,0
6,1
20,0
3,1
77,0
77,0
43,0
8,1
4,0
8,0
30,0
11,0
211,0
8,0
8,0
393,0
16,0
171,0
6,1
17,0
29,0
29,0
99,0
2,0
4,0
8,0
216,0
20,0
82,0
15,0
64,0
93,0
3,0
44,0
2,1
1,0
22,0
4,1
20,0
6,1
9,0
2,0
28,0
50,0
7,0
31,0
134,0
362,0
80,0
57,0
120,0
8,1
9,0
14,0
88,0
14,0
136,0
322,0
7,0
33,0
55,0
8,0
5,0
29,0
138,0
86,0
127,0
35,0
99,0
6,1
3,0
3,0
1,1
47,0
15,0
57,0
69,0
4,1
62,0
24,0
28,0
126,0
4,1
24,0
4,0
5,0
222,0
2,0
17,1
10,0
50,0
107,0
277,0
92,0
151,1
410,0
2,0
11,0
28,1
251,0
5,0
6,0
19,0
50,0
8,0
8,0
3,1
43,0
2,0
2,0
9,0
16,0
6,1
69,0
95,0
3,0
133,0
4,0
5,0
6,0
78,0
31,0
5,0
35,0
115,0
121,0
6,1
9,0
23,0
4,0
10,0
12,0
59,1
12,0
14,0
6,1
235,0
90,0
2,1
8,0
5,0
4,1
236,0
3,0
6,0
33,0
4,0
2,1
2,0
2,0
120,0
4,0
4,1
19,0
19,0
4,0
23,0
20,0
8,0
244,0
137,0
70,1
15,0
19,0
3,0
10,0
14,0
2,1
4,0
126,0
2,1
3,0
19,0
6,1
57,0
40,0
183,0
81,0
23,1
211,0
4,0
209,0
4,0
2,0
2,0
54,0
354,0
6,1
4,0
41,0
5,0
1,1
6,0
153,0
12,1
57,0
7,0
144,0
10,0
351,0
145,0
69,0
3,0
3,0
2,1
89,0
64,0
497,0
30,0
4,0
2,0
2,1
39,0
4,0
6,1
5,0
2,0
1,0
95,0
2,0
34,0
2,0
27,0
15,0
37,0
3,1
10,0
54,0
4,0
268,0
2,1
28,0
10,0
3,0
72,0
25,0
4,0
21,0
6,0
4,1
17,0
2,0
213,0
2,0
10,0
4,0
22,0
98,0
64,0
4,1
2,0
15,0
122,0
8,0
3,0
2,1
7,1
27,0
4,0
30,0
2,1
303,0
125,0
4,0
6,1
6,0
4,1
6,0
4,0
4,0
2,1
269,0
17,0
52,0
357,0
84,0
93,0
3,0
26,0
96,0
22,0
15,0
41,0
55,0
6,1
30,0
2,1
2,0
141,1
2,0
94,0
6,0
1,0
1,0
802,1
14,0
105,0
1,0
2,1
256,0
101,0
4,0
37,0
4,1
2,0
4,0
208,0
9,0
106,0
6,0
8,0
3,0
2,0
47,0
112,0
79,0
25,0
8,0
105,0
223,0
3,0
299,0
36,0
2,1
3,0
30,1
2,0
12,1
2,0
218,0
90,0
6,0
105,0
564,0
2,1
31,0
5,1
54,0
4,0
27,0
179,0
2,1
348,0
19,0
21,0
5,0
6,1
914,0
103,0
198,0
10,0
123,0
1,1
122,0
4,0
105,0
100,1
223,0
4,0
126,0
86,0
131,0
84,0
30,0
2,1
9,0
230,0
175,0
23,0
2,1
156,0
6,1
8,0
9,0
8,0
34,0
2,1
2,0
18,0
158,0
5,0
3,0
6,1
2,0
188,0
14,0
5,0
5,0
65,0
5,1
35,0
2,1
6,1
32,0
21,0
63,0
1,1
2,0
2,1
50,0
9,0
2,0
491,0
54,0
2,0
4,0
36,0
