C,S
1,1
3,0
6,1
2,1
21,0
2,0
7,0
2,0
3,0
2,1
6,0
5,0
36,0
6,0
13,0
46,0
6,1
11,0
2,0
1,0
6,0
3,0
121,0
2,0
1,0
21,0
57,0
36,0
46,0
22,0
34,0
117,0
5,0
7,0
8,0
9,0
2,0
35,0
2,1
18,0
43,0
44,0
11,0
15,0
88,0
2,1
9,0
12,0
9,0
3,0
4,0
4,0
7,0
8,0
33,0
2,0
19,0
9,1
26,0
4,0
1,1
4,1
5,0
3,0
8,0
1,0
88,1
112,0
1,0
1,0
10,0
1,0
2,1
9,0
10,0
22,0
4,0
2,0
1,0
4,1
131,0
6,0
4,1
55,0
1,0
9,0
104,0
8,0
1,1
8,0
16,0
2,0
5,0
19,0
1,0
1,0
2,0
111,0
4,0
1,0
140,0
30,0
4,0
12,0
2,1
38,0
41,0
2,1
34,0
9,0
26,0
36,0
4,0
6,1
20,0
1,0
38,0
15,0
1,1
4,0
1,0
50,0
17,0
46,0
2,0
41,0
2,0
6,0
7,0
22,0
1,1
20,0
4,0
45,0
2,1
20,0
126,0
8,0
3,0
16,0
62,0
15,0
38,0
1,0
2,0
43,0
1,0
55,0
5,0
21,0
1,0
6,1
89,0
1,0
4,0
7,0
22,0
3,1
1,0
1,0
24,0
4,0
2,0
8,0
2,1
1,0
1,0
2,1
63,0
6,1
32,0
5,0
1,0
1,1
6,1
39,0
33,0
121,0
11,0
5,0
21,0
7,0
8,0
9,0
129,0
3,0
25,0
19,0
2,1
11,1
1,0
2,0
3,0
5,0
1,1
1,1
1,0
1,1
5,0
9,0
2,0
2,0
2,1
2,0
89,0
12,0
42,0
22,0
5,0
3,1
1,0
24,0
4,1
9,0
26,0
21,0
22,0
42,0
3,1
16,0
2,0
4,0
10,0
36,0
2,1
47,0
2,0
1,0
1,0
4,1
21,0
4,0
1,0
4,0
105,0
3,0
24,0
3,1
18,1
70,1
21,0
10,0
45,0
6,1
6,0
1,0
8,0
32,0
3,0
25,0
1,1
22,0
4,0
8,0
66,0
7,1
2,0
16,0
138,0
1,1
15,1
4,0
41,0
50,0
2,0
2,0
86,0
5,0
6,0
1,1
1,0
2,1
2,0
13,0
2,0
10,0
2,0
55,0
169,0
2,0
3,0
64,0
5,0
31,0
29,0
2,0
1,1
1,0
98,0
11,0
3,0
66,0
26,0
5,0
5,0
185,0
5,0
1,0
21,0
17,0
6,0
25,0
44,0
1,1
2,1
33,1
2,1
1,0
118,0
21,0
59,0
52,0
1,0
2,0
29,0
72,0
5,0
27,0
3,0
12,1
2,1
3,0
6,1
2,0
20,0
2,0
34,0
2,1
2,0
4,0
23,0
6,1
4,1
26,0
4,0
27,0
1,0
26,0
1,0
6,0
4,0
1,0
2,0
11,1
27,0
1,0
89,1
8,0
1,0
26,0
2,0
7,0
1,1
3,0
6,0
38,0
58,0
3,0
147,0
2,0
2,1
1,0
67,0
3,0
5,0
9,0
2,0
2,0
2,0
14,0
28,0
2,0
32,0
1,0
31,0
3,1
1,1
110,0
5,1
9,0
56,0
37,0
10,0
5,0
1,0
4,0
1,0
4,0
1,0
22,0
8,0
7,0
2,0
1,0
2,0
6,1
4,0
6,0
9,0
95,0
12,0
63,0
1,0
4,0
12,0
2,0
2,1
1,0
1,0
17,0
17,0
6,1
4,0
7,1
3,0
41,0
6,0
5,0
6,1
1,0
2,1
34,0
8,0
1,1
2,0
1,0
12,1
1,0
1,0
5,1
19,0
12,0
11,0
12,0
15,0
56,0
44,0
10,0
37,0
2,0
62,0
2,0
6,1
15,0
37,0
34,0
2,0
73,0
1,0
2,0
11,0
4,0
60,0
12,0
4,0
4,0
5,1
71,0
1,0
37,0
1,0
3,0
2,0
15,0
8,0
1,0
9,0
28,1
34,1
6,1
31,0
2,1
118,0
9,0
35,0
1,0
10,0
25,0
37,0
28,0
6,1
45,0
1,0
2,0
7,0
26,0
96,1
2,0
4,1
3,0
1,0
2,1
46,0
88,0
19,0
2,0
9,0
17,0
63,0
2,0
9,0
2,0
2,0
1,0
1,0
85,0
26,0
6,1
2,1
10,0
15,0
4,1
4,0
2,0
4,0
51,0
2,1
1,0
27,0
3,0
33,0
2,0
33,0
6,1
11,0
62,0
81,0
1,0
2,0
31,0
5,0
7,0
15,0
7,0
2,1
44,0
6,0
29,0
5,1
7,1
29,0
10,0
2,0
4,1
42,0
10,0
3,0
27,0
12,0
16,0
12,0
1,0
1,1
4,0
1,0
12,0
143,0
49,0
1,0
26,0
49,0
28,0
33,0
3,0
9,0
11,0
16,0
35,0
31,0
1,0
3,0
35,0
36,0
157,0
10,0
227,0
