C,S
39,0
4,1
3,0
521,0
72,0
5,0
591,0
2,1
101,0
9,0
4,0
5,1
8,0
258,0
15,0
51,0
1,0
62,1
663,0
107,0
2,0
4,0
4,1
116,0
70,0
14,0
6,1
6,0
6,1
428,0
809,0
15,0
5,1
430,0
2,1
125,0
229,0
81,0
6,1
1,0
4,0
6,1
6,0
13,1
23,0
69,0
26,0
21,0
92,0
1,0
247,0
115,0
43,0
62,0
24,0
11,0
187,0
306,0
82,0
7,0
157,0
62,0
6,0
24,0
9,0
1117,0
83,0
258,0
53,0
2,1
6,0
6,1
410,0
4,0
205,0
4,1
215,0
84,0
33,0
77,0
24,0
12,0
144,0
63,0
425,0
128,0
26,0
92,0
7,1
17,0
1,0
4,0
7,0
236,0
2,1
85,0
112,0
6,0
30,0
85,0
34,0
200,0
15,0
1,0
9,0
43,1
114,0
37,0
2,1
96,0
1,1
162,1
12,0
501,0
112,0
4,1
350,0
181,0
4,1
20,0
99,0
268,0
3,0
7,0
79,0
450,0
9,0
6,1
487,0
55,1
9,0
419,0
177,0
16,0
6,1
1,0
34,0
161,0
4,0
139,0
19,1
1,0
13,0
3,1
499,0
50,0
540,0
92,1
6,0
190,0
645,0
24,1
96,0
2,1
156,0
334,0
87,0
2,1
6,0
1,1
55,0
9,1
8,0
242,0
190,0
6,1
10,0
3,0
228,0
10,0
17,0
58,0
228,0
258,0
186,0
60,0
87,0
28,1
16,0
26,0
23,0
2,1
27,0
148,0
207,0
1,1
1,0
207,0
2,0
14,0
9,1
1,1
8,0
3,1
214,0
3,0
3,0
36,0
62,0
4,0
3,0
6,1
5,0
109,0
6,0
201,0
635,0
101,0
24,0
6,0
1,1
38,1
15,1
65,0
6,0
221,0
11,1
2,0
12,0
6,0
12,0
344,0
6,1
6,1
361,0
147,0
3,0
144,0
2,1
119,0
388,0
258,0
105,1
155,0
2,1
94,0
5,0
224,0
3,0
96,0
271,0
2,0
318,0
28,0
240,0
83,0
105,0
289,0
41,1
57,0
259,0
273,0
2,1
6,1
235,0
401,0
12,0
102,0
3,0
5,0
65,0
70,0
3,0
601,0
17,0
3,0
4,0
26,0
6,0
3,0
31,0
3,0
8,0
9,0
158,0
96,0
166,0
18,0
7,0
3,0
96,0
39,0
130,0
3,1
59,0
336,0
1,1
6,0
145,1
3,0
11,0
536,0
8,0
129,0
370,0
366,0
81,0
171,0
5,1
75,0
19,0
4,0
213,0
14,0
1,1
348,0
21,0
13,0
42,0
114,0
393,0
18,0
294,0
84,0
8,0
10,1
28,0
3,0
18,0
1,1
3,0
3,0
177,0
70,0
97,0
5,0
36,0
22,0
617,0
212,0
201,0
17,0
2,1
1,1
846,1
10,0
2,0
160,0
8,0
5,0
86,0
7,1
575,0
766,0
197,0
14,0
47,0
1,0
5,0
6,1
64,0
43,0
486,0
41,0
38,1
15,0
1,1
126,0
3,1
1392,0
216,0
47,0
6,0
527,1
24,0
378,0
69,0
20,1
9,1
48,0
42,0
656,0
250,0
242,0
5,0
72,1
281,0
2,0
2,0
115,0
39,0
2,1
22,0
37,0
3,1
153,0
6,1
24,0
35,0
74,0
402,0
2,1
37,1
31,0
109,0
123,0
134,0
3,0
6,1
6,0
2,1
485,0
3,0
12,0
108,0
87,0
9,0
118,0
6,1
185,0
11,0
266,0
11,0
62,0
4,0
42,0
10,1
8,1
93,0
7,0
17,0
20,0
7,0
402,0
175,1
3,1
30,0
1207,0
22,0
193,0
28,0
2,1
102,0
33,0
57,0
117,0
73,0
10,0
96,0
4,0
4,0
6,1
18,0
10,0
7,1
941,0
588,1
5,0
473,0
6,0
24,0
365,0
90,0
2,1
2,1
21,1
984,0
15,0
128,0
41,0
139,0
44,0
296,0
214,0
6,0
8,0
640,0
3,0
8,0
123,0
31,0
50,0
3,0
409,1
305,0
863,0
171,0
5,0
13,0
3,1
14,0
33,0
400,0
135,0
10,0
24,0
6,1
97,0
41,0
4,0
84,0
152,0
75,0
8,0
35,0
2,1
32,0
5,1
420,0
2,0
123,0
6,0
45,0
10,0
86,0
116,0
181,0
207,0
35,0
121,0
144,0
36,0
11,0
92,0
2,1
368,0
44,0
29,0
12,0
2,1
3,0
2,1
160,0
114,0
3,0
5,0
8,0
81,0
273,0
